short_name,overall,age,height_cm,weight_kg,club_name,club_position,nationality_name,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,skill_dribbling
L. Messi,93,34,170,72,Paris Saint-Germain,RW,Argentina,4,5,85,92,91,95,34,65,95,70,96
R. Lewandowski,92,32,185,81,FC Bayern München,ST,Poland,4,5,78,92,79,86,44,82,95,90,85
Cristiano Ronaldo,91,36,187,83,Manchester United,ST,Portugal,5,5,87,94,80,88,34,75,95,90,88
Neymar Jr,91,29,175,68,Paris Saint-Germain,LW,Brazil,5,5,91,83,86,94,37,63,83,63,95
K. De Bruyne,91,30,181,70,Manchester City,RCM,Belgium,4,4,76,86,93,88,64,78,82,55,88
J. Oblak,91,28,188,87,Atlético de Madrid,GK,Slovenia,1,5,,,,,,,11,15,12
K. Mbappé,91,22,182,73,Paris Saint-Germain,ST,France,5,4,97,88,80,92,36,77,93,72,93
M. Neuer,90,35,193,93,FC Bayern München,GK,Germany,1,5,,,,,,,13,25,30
M. ter Stegen,90,29,187,85,FC Barcelona,GK,Germany,1,4,,,,,,,14,11,21
H. Kane,90,27,188,89,Tottenham Hotspur,ST,England,3,4,70,91,83,83,47,83,94,86,83
N. Kanté,90,30,168,70,Chelsea,RCM,France,2,4,78,66,75,82,87,83,65,54,79
K. Benzema,89,33,185,81,Real Madrid CF,CF,France,4,4,76,86,81,87,39,77,90,89,87
T. Courtois,89,29,199,96,Real Madrid CF,GK,Belgium,1,4,,,,,,,14,13,13
H. Son,89,28,183,78,Tottenham Hotspur,LW,Korea Republic,4,4,88,87,82,86,43,69,88,68,87
Casemiro,89,29,185,84,Real Madrid CF,CDM,Brazil,2,3,65,73,76,73,86,90,64,79,69
V. van Dijk,89,29,193,92,Liverpool,LCB,Netherlands,2,4,78,60,71,72,91,84,52,87,70
S. Mané,89,29,175,69,Liverpool,LW,Senegal,4,4,91,83,80,89,44,77,86,84,90
M. Salah,89,29,175,71,Liverpool,RW,Egypt,4,4,90,87,81,90,45,75,91,59,90
Ederson,89,27,188,86,Manchester City,GK,Brazil,1,3,,,,,,,14,14,23
J. Kimmich,89,26,177,75,FC Bayern München,RDM,Germany,3,4,70,73,86,84,83,79,68,72,83
Alisson,89,28,191,91,Liverpool,GK,Brazil,1,3,,,,,,,13,29,27
G. Donnarumma,89,22,196,90,Paris Saint-Germain,GK,Italy,1,3,,,,,,,12,12,28
Sergio Ramos,88,35,184,82,Paris Saint-Germain,LCB,Spain,3,4,70,70,76,74,88,84,65,92,65
L. Suárez,88,34,182,83,Atlético de Madrid,RS,Uruguay,3,5,72,90,82,84,47,83,93,84,83
T. Kroos,88,31,183,76,Real Madrid CF,LCM,Germany,3,4,53,81,91,81,71,68,77,58,80
R. Lukaku,88,28,191,94,Chelsea,ST,Belgium,3,4,84,87,74,78,39,83,92,89,83
K. Navas,88,34,185,80,Paris Saint-Germain,SUB,Costa Rica,1,3,,,,,,,15,11,24
R. Sterling,88,26,170,69,Manchester City,SUB,England,4,4,91,82,79,87,45,66,85,46,87
Bruno Fernandes,88,26,179,69,Manchester United,CAM,Portugal,4,3,75,86,89,84,70,77,83,64,83
E. Haaland,88,20,194,94,Borussia Dortmund,RS,Norway,3,4,89,91,65,80,45,88,94,69,78
S. Agüero,87,33,173,70,FC Barcelona,ST,Argentina,4,4,71,89,75,87,33,69,93,78,86
